LAST SEEN   TYPE      REASON                         OBJECT                                                   MESSAGE
17m         Normal    Scheduled                      pod/engagement-platform-service-7b6df4855b-zflnb         Successfully assigned aituan/engagement-platform-service-7b6df4855b-zflnb to izj6c1l84z55xbo85st14pz
2m18s       Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-wwjh2                         Successfully assigned aituan/api-gateway-7ddddc4f8f-wwjh2 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/health-trade-fulfillment-service-33627149918-1-1     Successfully assigned aituan/health-trade-fulfillment-service-33627149918-1-1 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/version-engagement-platform-service-33627149918-1    Successfully assigned aituan/version-engagement-platform-service-33627149918-1 to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/health-trade-fulfillment-service-33625864450-1-1     Successfully assigned aituan/health-trade-fulfillment-service-33625864450-1-1 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/health-trade-fulfillment-service-33624446793-1-1     Successfully assigned aituan/health-trade-fulfillment-service-33624446793-1-1 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/health-merchant-catalog-service-33627149918-1-1      Successfully assigned aituan/health-merchant-catalog-service-33627149918-1-1 to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/health-merchant-catalog-service-33625864450-1-1      Successfully assigned aituan/health-merchant-catalog-service-33625864450-1-1 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/health-merchant-catalog-service-33624446793-1-1      Successfully assigned aituan/health-merchant-catalog-service-33624446793-1-1 to izj6c1l84z55xbo85st14pz
31m         Normal    Scheduled                      pod/api-gateway-67454f875f-2jlxk                         Successfully assigned aituan/api-gateway-67454f875f-2jlxk to izj6c1l84z55xbo85st14pz
16m         Normal    Scheduled                      pod/health-identity-asset-service-33627149918-1-1        Successfully assigned aituan/health-identity-asset-service-33627149918-1-1 to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/health-identity-asset-service-33625864450-1-1        Successfully assigned aituan/health-identity-asset-service-33625864450-1-1 to izj6c1l84z55xbo85st14pz
9m17s       Normal    Scheduled                      pod/identity-asset-service-8648977489-wxtjh              Successfully assigned aituan/identity-asset-service-8648977489-wxtjh to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/merchant-catalog-service-65bd4fcf56-25hf8            Successfully assigned aituan/merchant-catalog-service-65bd4fcf56-25hf8 to izj6c1l84z55xbo85st14pz
15m         Normal    Scheduled                      pod/health-engagement-platform-service-33627149918-1-1   Successfully assigned aituan/health-engagement-platform-service-33627149918-1-1 to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/health-engagement-platform-service-33625864450-1-1   Successfully assigned aituan/health-engagement-platform-service-33625864450-1-1 to izj6c1l84z55xbo85st14pz
34m         Normal    Scheduled                      pod/api-gateway-67454f875f-x74n8                         Successfully assigned aituan/api-gateway-67454f875f-x74n8 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/health-engagement-platform-service-33624446793-1-1   Successfully assigned aituan/health-engagement-platform-service-33624446793-1-1 to izj6c1l84z55xbo85st14pz
16m         Normal    Scheduled                      pod/health-api-gateway-33627149918-1-1                   Successfully assigned aituan/health-api-gateway-33627149918-1-1 to izj6c1l84z55xbo85st14pz
32m         Normal    Scheduled                      pod/health-api-gateway-33625864450-1-1                   Successfully assigned aituan/health-api-gateway-33625864450-1-1 to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/version-identity-asset-service-33624446793-1         Successfully assigned aituan/version-identity-asset-service-33624446793-1 to izj6c1l84z55xbo85st14pz
2m33s       Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-tbghr                         Successfully assigned aituan/api-gateway-7ddddc4f8f-tbghr to izj6c1l84z55xbo85st14pz
17m         Normal    Scheduled                      pod/api-gateway-7ddddc4f8f-q9pxn                         Successfully assigned aituan/api-gateway-7ddddc4f8f-q9pxn to izj6c1l84z55xbo85st14pz
46m         Normal    Scheduled                      pod/health-api-gateway-33624446793-1-1                   Successfully assigned aituan/health-api-gateway-33624446793-1-1 to izj6c1l84z55xbo85st14pz
